JUVIGNY SUR SEULLES;14250;14;49.1556573472;-0.60264289279;95;357;100;"{""type"": ""Polygon"", ""coordinates"": [[[-0.5863352966, 49.1450371172], [-0.5950362143, 49.1484403988], [-0.6194588566, 49.1506150528], [-0.6216151521, 49.1512341659], [-0.622194934, 49.1526567351], [-0.6158098296, 49.1571058693], [-0.6143575245, 49.1661765409], [-0.5879150369, 49.160109965], [-0.5863352966, 49.1450371172]]]}"
LANDELLES ET COUPIGNY;14380;14;48.8983991959;-1.00295458631;107;2446;800;"{""type"": ""Polygon"", ""coordinates"": [[[-0.9986198273, 48.8657185667], [-0.9991075377, 48.8660264263], [-1.0064044726, 48.8709238663], [-1.0267217075, 48.8683505067], [-1.0312114065, 48.870099269], [-1.0407222536, 48.8818357812], [-1.0527504278, 48.8872640057], [-1.0491942173, 48.8940299434], [-1.0218924319, 48.9051258858], [-1.0135815288, 48.9216847977], [-0.9906472839, 48.9260441245], [-0.9713113742, 48.9280016171], [-0.9629893663, 48.9244146406], [-0.9567576386, 48.9112948161], [-0.9494494865, 48.9062598073], [-0.9681951622, 48.9000661465], [-0.9831081211, 48.9032624618], [-0.992718573, 48.9003489602], [-0.9921558831, 48.8935514133], [-0.9856081338, 48.8884751138], [-0.9945240783, 48.885800576], [-0.9944256582, 48.882562241], [-0.9866035276, 48.878834188], [-0.9874104921, 48.8756467041], [-0.9986198273, 48.8657185667]]]}"
LISORES;14140;14;48.956342574;0.211979306387;172;1186;300;"{""type"": ""Polygon"", ""coordinates"": [[[0.2246209384, 48.9402880761], [0.218124412, 48.9458062091], [0.1873157817, 48.9410738117], [0.1812625464, 48.9557245791], [0.1955205273, 48.972309434], [0.2150815273, 48.9750688414], [0.2200403382, 48.9705230437], [0.2444012851, 48.958551509], [0.2389003235, 48.9424985685], [0.2246209384, 48.9402880761]]]}"
LE MOLAY LITTRY;14330;14;49.2344021109;-0.889241335163;68;2719;3100;"{""type"": ""Polygon"", ""coordinates"": [[[-0.8873343465, 49.2017729768], [-0.9015756925, 49.2048228171], [-0.9209254359, 49.2215846763], [-0.9243532232, 49.2281789014], [-0.920714851, 49.2307636665], [-0.9293014698, 49.2381258405], [-0.9257833338, 49.2406707927], [-0.9270231609, 49.2540868213], [-0.9207791451, 49.2634889259], [-0.9115697222, 49.2664612979], [-0.9068621941, 49.2649578148], [-0.9054615804, 49.2620779731], [-0.8923054575, 49.2606853375], [-0.8866122416, 49.2559366831], [-0.8777234248, 49.248167398], [-0.8678015319, 49.248045196], [-0.8551001852, 49.2432858211], [-0.8386104995, 49.2494824918], [-0.8296751991, 49.2515398164], [-0.8396643733, 49.241465494], [-0.8420953594, 49.231640384], [-0.8540701061, 49.2254254478], [-0.856196576, 49.2192998663], [-0.8696659453, 49.2151235087], [-0.8774064425, 49.2067646478], [-0.8871573192, 49.2050821078], [-0.8873343465, 49.2017729768]]]}"
LOUVAGNY;14170;14;48.9501421231;-0.0465642056704;69;560;100;"{""type"": ""Polygon"", ""coordinates"": [[[-0.0279742153, 48.9404246268], [-0.0621709111, 48.9402484055], [-0.0632008299, 48.9442807502], [-0.0674175791, 48.9594805339], [-0.0594196971, 48.9608188464], [-0.0435523445, 48.9601069405], [-0.0249661605, 48.9547011344], [-0.0279742153, 48.9404246268]]]}"
MONTAMY;14260;14;48.9696183928;-0.756746530067;242;366;100;"{""type"": ""Polygon"", ""coordinates"": [[[-0.7285253752, 48.9570439484], [-0.7542223604, 48.9613459741], [-0.7636965119, 48.9634164427], [-0.766579887, 48.9698076757], [-0.7751132339, 48.9733922716], [-0.7747832166, 48.9831523594], [-0.7651603017, 48.982293673], [-0.757159002, 48.9781335512], [-0.7561097517, 48.9721348186], [-0.7340591874, 48.9629032392], [-0.7285253752, 48.9570439484]]]}"
MONTCHAUVET;14350;14;48.9468592899;-0.735047622385;243;1858;400;"{""type"": ""Polygon"", ""coordinates"": [[[-0.7053646822, 48.9301610644], [-0.7070750405, 48.9303872093], [-0.7760471971, 48.9346962623], [-0.7961812357, 48.9373908372], [-0.7959203576, 48.9375611588], [-0.7840897558, 48.9483157999], [-0.7641961766, 48.9497437851], [-0.7542223604, 48.9613459741], [-0.7285253752, 48.9570439484], [-0.7238112432, 48.9580277731], [-0.7220427886, 48.9644473785], [-0.7149291896, 48.9689801942], [-0.7056332909, 48.9682417295], [-0.6920814053, 48.964753057], [-0.6920815686, 48.9584065138], [-0.7003722331, 48.9512010031], [-0.697293659, 48.9457776288], [-0.6979293377, 48.9418419798], [-0.7053646822, 48.9301610644]]]}"
NORREY EN AUGE;14620;14;48.9134999987;-0.015141118433;95;885;100;"{""type"": ""Polygon"", ""coordinates"": [[[-0.0346284668, 48.8983193377], [-0.0448640033, 48.9108837202], [-0.0468485003, 48.9125971318], [-0.0317824468, 48.9206919874], [-0.0133137406, 48.925297743], [0.0111803143, 48.9268293793], [0.0124759054, 48.9092683711], [-0.0346284668, 48.8983193377]]]}"
PENNEDEPIE;14600;14;49.4016561749;0.164048692054;47;574;300;"{""type"": ""Polygon"", ""coordinates"": [[[0.1300467688, 49.3798714696], [0.1327326814, 49.3860694396], [0.1509705375, 49.4013411715], [0.148788569, 49.4073968175], [0.1846862024, 49.4153609029], [0.1942280738, 49.406714538], [0.1906134141, 49.4055153779], [0.1729839011, 49.4005176071], [0.172922957, 49.3973592322], [0.1654555786, 49.392318555], [0.139464069, 49.3881626876], [0.1300467688, 49.3798714696]]]}"
PERRIERES;14170;14;48.9597084503;-0.125803038768;76;813;300;"{""type"": ""Polygon"", ""coordinates"": [[[-0.1335415219, 48.9335160941], [-0.142147059, 48.9628992887], [-0.1445458172, 48.9659501908], [-0.1496912121, 48.9653741213], [-0.1419202072, 48.9697717978], [-0.1124099611, 48.9809807115], [-0.1097479918, 48.9714566364], [-0.1078471413, 48.9661873729], [-0.1150436675, 48.9487487566], [-0.1335415219, 48.9335160941]]]}"
